tag beginn pause ende dauer bemerkung
1 {} {} {} {} Ruhetag
2 6:20 {} 12:15 5:55 {}
3 6:20 {} 12:05 5:45 {}
4 6:20 1:00 13:15 5:55 Arztbesuch
5 {} {} {} {} Feiertag
6 {} {} {} {} Urlaub
7 {} {} {} {} Ruhetag
8 {} {} {} {} Ruhetag
9 6:20 {} 12:25 6:05 {}
10 6:20 {} 12:10 5:50 {}
11 6:20 {} 12:25 6:05 {}
12 6:20 {} 12:20 6:00 {}
13 6:20 {} 12:10 5:50 {}
14 {} {} {} {} Ruhetag
15 {} {} {} {} Ruhetag
16 {} {} {} {} Feiertag
17 6:20 {} 12:05 5:45 {}
18 6:20 {} 12:10 5:50 {}
19 6:20 {} 12:20 6:00 {}
20 6:20 {} 12:00 5:40 {}
21 {} {} {} {} Ruhetag
22 {} {} {} {} Ruhetag
23 6:20 {} 12:05 5:45 {}
24 6:20 {} 12:10 5:50 {}
25 6:20 {} 13:10 6:50 {}
26 {} {} {} {} Feiertag
27 {} {} {} {} Urlaub
28 {} {} {} {} Ruhetag
29 {} {} {} {} Ruhetag
30 6:20 {} 12:05 5:45 {}
31 6:20 {} 12:05 5:45 {}
nan nan nan nan 100:35 nan
